url,name,brand,country,gender,rating,rating_count,year,notes_top,notes_middle,notes_base,accords,embedding_text
https://www.fragrantica.com/perfume/elizabeth-arden/blue-grass-91.html,blue-grass,elizabeth-arden,USA,women,3.5,1255,1936.0,"aldehydes, lavender, geranium, lily, bergamot, orange blossom, neroli","lavender, carnation, spices, clove, narcissus, bay leaf, jasmine, tuberose, rose","benzoin, sandalwood, vetiver, musk, cedar, tonka bean","warm spicy, aromatic, fresh spicy, aldehydic, white floral","blue-grass by elizabeth-arden. Accords: warm spicy, aromatic, fresh spicy, aldehydic, white floral. Top notes: aldehydes, lavender, geranium, lily, bergamot, orange blossom, neroli. Middle notes: lavender, carnation, spices, clove, narcissus, bay leaf, jasmine, tuberose, rose. Base notes: benzoin, sandalwood, vetiver, musk, cedar, tonka bean"
https://www.fragrantica.com/perfume/estee-lauder/beyond-paradise-blue-2276.html,beyond-paradise-blue,estee-lauder,France,women,3.5,177,2006.0,"bergamot, tangerine, grapefruit","jasmine, frangipani, orange blossom","lavender, neroli, ylang-ylang, sandalwood, vanilla","citrus, white floral, floral, fresh spicy, tropical","beyond-paradise-blue by estee-lauder. Accords: citrus, white floral, floral, fresh spicy, tropical. Top notes: bergamot, tangerine, grapefruit. Middle notes: jasmine, frangipani, orange blossom. Base notes: lavender, neroli, ylang-ylang, sandalwood, vanilla"
https://www.fragrantica.com/perfume/ex-nihilo/rose-hubris-27566.html,rose-hubris,ex-nihilo,France,unisex,3.5,135,2014.0,"litchi, fenugreek","rose de mai, labdanum","oakmoss, patchouli, musk","rose, musky, woody, earthy, mossy","rose-hubris by ex-nihilo. Accords: rose, musky, woody, earthy, mossy. Top notes: litchi, fenugreek. Middle notes: rose de mai, labdanum. Base notes: oakmoss, patchouli, musk"
https://www.fragrantica.com/perfume/giardini-di-toscana/rosso-rubino-64790.html,rosso-rubino,giardini-di-toscana,Italy,unisex,3.5,143,,"bergamot, orange, lemon","cacao pod, rose, wild berries","oakmoss, coumarin, cashmeran, pink pepper, patchouli","woody, citrus, mossy, earthy, sweet","rosso-rubino by giardini-di-toscana. Accords: woody, citrus, mossy, earthy, sweet. Top notes: bergamot, orange, lemon. Middle notes: cacao pod, rose, wild berries. Base notes: oakmoss, coumarin, cashmeran, pink pepper, patchouli"
https://www.fragrantica.com/perfume/giorgio-armani/rose-milano-soie-de-nacre-79083.html,rose-milano-soie-de-nacre,giorgio-armani,Italy,unisex,3.5,32,2023.0,"lemon, bergamot","damask rose, jasmine","oakmoss, patchouli","citrus, rose, white floral, floral, mossy","rose-milano-soie-de-nacre by giorgio-armani. Accords: citrus, rose, white floral, floral, mossy. Top notes: lemon, bergamot. Middle notes: damask rose, jasmine. Base notes: oakmoss, patchouli"
https://www.fragrantica.com/perfume/amway/sun-dapples-8909.html,sun-dapples,amway,USA,women,3.5,124,,"melon, water notes, orange, green notes, black currant, plum","rose, peach, jasmine, lily-of-the-valley, geranium, iris","amber, musk, sandalwood","fruity, aquatic, fresh, ozonic, sweet","sun-dapples by amway. Accords: fruity, aquatic, fresh, ozonic, sweet. Top notes: melon, water notes, orange, green notes, black currant, plum. Middle notes: rose, peach, jasmine, lily-of-the-valley, geranium, iris. Base notes: amber, musk, sandalwood"
https://www.fragrantica.com/perfume/gritti/preludio-18722.html,preludio,gritti,Italy,unisex,3.5,78,,"lavender, watermelon, lemon","pine tree, woody notes, sandalwood, tobacco","musk, borage, amber","woody, aromatic, lavender, ozonic, aquatic","preludio by gritti. Accords: woody, aromatic, lavender, ozonic, aquatic. Top notes: lavender, watermelon, lemon. Middle notes: pine tree, woody notes, sandalwood, tobacco. Base notes: musk, borage, amber"
https://www.fragrantica.com/perfume/juliette-has-a-gun/ego-stratis-76443.html,ego-stratis,juliette-has-a-gun,France,unisex,3.5,484,2022.0,"bergamot, lemon, mandarin orange","sea notes, blueberry, calone, neroli, peach","ambroxan, musk, cedar","citrus, aromatic, marine, musky, fresh","ego-stratis by juliette-has-a-gun. Accords: citrus, aromatic, marine, musky, fresh. Top notes: bergamot, lemon, mandarin orange. Middle notes: sea notes, blueberry, calone, neroli, peach. Base notes: ambroxan, musk, cedar"
https://www.fragrantica.com/perfume/kate-spade/kate-spade-new-york-bloom-89348.html,kate-spade-new-york-bloom,kate-spade,USA,women,3.5,40,2024.0,"granny smith apple, sicilian lemon, sweet orange","white camelia, orange blossom, ylang-ylang","cashmeran, cedarwood, sandalwood","woody, citrus, powdery, floral, fruity","kate-spade-new-york-bloom by kate-spade. Accords: woody, citrus, powdery, floral, fruity. Top notes: granny smith apple, sicilian lemon, sweet orange. Middle notes: white camelia, orange blossom, ylang-ylang. Base notes: cashmeran, cedarwood, sandalwood"
https://www.fragrantica.com/perfume/ralph-lauren/chaps-woman-11855.html,chaps-woman,ralph-lauren,USA,women,3.5,40,2007.0,"banana, carambola (star fruit), red berries","tuberose, jasmine, frangipani","woodsy notes, virginia cedar","fruity, tropical, white floral, sweet, woody","chaps-woman by ralph-lauren. Accords: fruity, tropical, white floral, sweet, woody. Top notes: banana, carambola (star fruit), red berries. Middle notes: tuberose, jasmine, frangipani. Base notes: woodsy notes, virginia cedar"
