name,brand,accords,notes,rating,score,source,url
Iris Nobile 10th Anniversary Special Edition Acqua di Parma for women,Acqua di Parma,"[['powdery', 100.0], ['citrus', 97.231552211081], ['yellow floral', 88.333775612715], ['floral', 79.830733362397], ['sweet', 74.293837784559], ['woody', 73.898440017438], ['white floral', 71.920787762761], ['iris', 69.547737740963], ['soft spicy', 64.209204465758], ['anis', 61.6384555604]]","{'head': ['Iris Flower', 'Star Anise', 'Mandarin Orange', 'Orange', 'Bergamot'], 'heart': ['Ylang-Ylang', 'Mimosa', 'Tuberose', 'Cedar', 'Hibiscus', 'Orange Blossom'], 'base': ['Vanila', 'Amber']}",3.78,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Iris-Nobile-10th-Anniversary-Special-Edition-25511.html
Colonia Il Profumo Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['aromatic', 56.198224852071], ['fresh spicy', 49.943375524119], ['woody', 48.345089279883]]","{'head': ['Orange', 'Bergamot', 'Lemon', 'Petitgrain', 'Pineapple'], 'heart': ['Verbena', 'Neroli', 'Lavender', 'Ylang-Ylang', 'Rose'], 'base': ['Moss', 'Vetiver', 'Cedar', 'Patchouli', 'Leather', 'Sandalwood']}",4.18,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Il-Profumo-100793.html
Magnolia Nobile Special Edition 2016 Acqua di Parma for women,Acqua di Parma,"[['citrus', 100.0], ['woody', 90.135685122097], ['floral', 80.067940082698], ['white floral', 78.435037578342], ['aromatic', 61.836592723585], ['rose', 53.129144670117], ['tuberose', 53.129144670117], ['powdery', 51.360622058097], ['vanilla', 47.687046524328], ['earthy', 45.782448703612]]","{'head': ['Bergamot', 'Lemon', 'Cedar'], 'heart': ['Magnolia', 'Jasmine', 'Rose', 'Tuberose'], 'base': ['Sandalwood', 'Vanilla', 'Vetiver', 'Patchouli']}",3.96,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Magnolia-Nobile-Special-Edition-2016-35351.html
Gelsomino Nobile Edizione Speciale Acqua di Parma for women,Acqua di Parma,"[['white floral', 100.0], ['citrus', 62.291569124901], ['tuberose', 54.999981852695], ['musky', 53.749995463174], ['woody', 46.666739255888], ['animalic', 45.625083931287]]","{'head': ['Mandarin Orange', 'Pink Pepper'], 'heart': ['Jasmine', 'Tuberose', 'Orange Blossom'], 'base': ['Musk', 'Cedar']}",3.78,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Gelsomino-Nobile-Edizione-Speciale-23906.html
Acqua di Parma Iris Nobile Edizione Speciale 2008 Acqua di Parma for women,Acqua di Parma,"[['iris', 100.0], ['powdery', 91.60031833208], ['citrus', 91.384832001119], ['earthy', 88.692477218267], ['woody', 82.553565494202], ['violet', 65.0], ['vanilla', 60.154006261697], ['mossy', 59.077186783971], ['yellow floral', 57.999755129169], ['patchouli', 55.846116173718]]","{'head': ['Bergamot', 'Mandarin Orange', 'Star Anise'], 'heart': ['Iris', 'Ylang-Ylang'], 'base': ['Vanilla', 'Oakmoss', 'Patchouli']}",4.17,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-Edizione-Speciale-2008-5068.html
Sandalo Eau de Parfum Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['aromatic', 90.907423763324], ['woody', 83.696509597427], ['warm spicy', 79.616979389298], ['lavender', 71.548533248832], ['amber', 64.17196486], ['fresh spicy', 61.672993035376], ['powdery', 59.941882808233], ['vanilla', 48.922337362882], ['sweet', 48.365437126233]]","{'head': ['Calabrian bergamot', 'Orange', 'Lemon', 'Petitgrain'], 'heart': ['Lavender', 'Cardamom'], 'base': ['Sandalwood', 'Tonka Bean', 'Amber']}",3.99,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Sandalo-Eau-de-Parfum-56002.html
Acqua di Parma Colonia Edizione Centenario Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['aromatic', 97.54381273969], ['woody', 97.432046326147], ['fresh spicy', 64.386086876805], ['powdery', 57.910586869165], ['white floral', 54.561337835567], ['lavender', 54.561337835567], ['musky', 54.561337835567], ['rose', 54.561337835567], ['earthy', 53.668276062277]]","{'head': ['Lemon', 'Rosemary', 'Citruses', 'Lemon Verbena'], 'heart': ['Jasmine', 'Lavender', 'Rose'], 'base': ['Musk', 'Sandalwood', 'Vetiver', 'Amber', 'Patchouli']}",3.75,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Edizione-Centenario-42460.html
Acqua di parma Blue Mediterraneo - Mirto di Panarea Acqua di Parma for women and men,Acqua di Parma,"[['aromatic', 100.0], ['fresh spicy', 79.110359039657], ['citrus', 68.28672910349], ['herbal', 56.616641814801], ['woody', 50.011225224923], ['marine', 47.401192889574]]","{'head': ['Myrtle', 'Lemon', 'Bergamot', 'Basil'], 'heart': ['Sea Notes', 'Jasmine', 'Rose'], 'base': ['Juniper', 'Cedar', 'Mastic or Lentisque', 'Amber']}",4.11,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-parma-Blue-Mediterraneo-Mirto-di-Panarea-3108.html
Lily of the Valley Acqua di Parma for women and men,Acqua di Parma,"[['white floral', 100.0], ['floral', 68.11088941528], ['citrus', 64.888884520498], ['fresh spicy', 61.110958217434], ['fresh', 59.222339076675], ['aromatic', 55.666643732615], ['green', 51.888717429552], ['fruity', 47.666673219253]]","{'head': ['Black Currant', 'Bergamot', 'Grapefruit'], 'heart': ['Lily-of-the-Valley', 'Jasmine', 'Magnolia', 'Geranium'], 'base': ['Musk', 'Cedar']}",3.6,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Lily-of-the-Valley-68638.html
Acqua di Parma Colonia Assoluta Edizione Riviera Acqua di Parma for women,Acqua di Parma,"[['citrus', 100.0], ['woody', 78.348005069191], ['aromatic', 67.217473399505], ['fresh spicy', 59.739268369439], ['rose', 45.652105500413], ['sweet', 44.434861745469]]","{'head': ['Orange', 'Bergamot', 'Sicilian Lemon'], 'heart': ['Lemon Verbena', 'Bulgarian Rose', 'Lavender'], 'base': ['Cedar', 'Sandalwood', 'Rosemary', 'Ylang-Ylang']}",3.43,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-Edizione-Riviera-1680.html
